title,year,genre,weighted_average_vote,num_votes,title_type,tconst
The Golem,1914.0,Horror,6.7,1339,movie,tt0004026
The House Next Door,1914.0,Drama,3.0,18,movie,tt0004125
Samson,1914.0,Drama,6.3,32,movie,tt0004558
The Spy,1914.0,"Drama,War",7.7,16,movie,tt0004633
The Captive,1915.0,"Drama,Romance,War",6.5,196,movie,tt0005059
The Lamb,1915.0,"Adventure,Comedy,Western",5.5,67,movie,tt0005600
The Governor,1915.0,Drama,6.7,324,movie,tt0005809
Samson,1915.0,"Action,Crime,Drama",4.0,20,movie,tt0006002
Scandal,1915.0,Drama,5.9,46,movie,tt0006008
Black Friday,1916.0,"Drama,History",5.2,10,movie,tt0006433
The Blacklist,1916.0,Drama,7.1,29,movie,tt0006437
Friday the 13th,1916.0,Drama,5.7,61,movie,tt0006703
One Day,1916.0,"Adventure,Drama,Romance",6.2,19,movie,tt0007146
Powder,1916.0,"Drama,War",9.0,12,movie,tt0007205
Seventeen,1916.0,"Comedy,Drama",6.2,19,movie,tt0007326
She,1916.0,"Fantasy,Sci-Fi",3.2,19,movie,tt0007330
Sherlock Holmes,1916.0,"Crime,Mystery",6.2,544,movie,tt0007338
The Barrier,1917.0,Adventure,5.6,19,movie,tt0007684
House of Cards,1917.0,Drama,6.0,13,movie,tt0008123
Les Misérables,1917.0,Drama,6.7,37,movie,tt0008305
Patria,1917.0,"Action,Drama",6.0,39,movie,tt0008411
She,1917.0,"Drama,Fantasy,Sci-Fi",5.8,24,movie,tt0008565
Revenge,1918.0,"Drama,Western",7.9,32,movie,tt0009544
The Girl from Nowhere,1919.0,"Action,Adventure,Drama",5.5,23,movie,tt0010168
The Other,1919.0,Horror,5.7,11,movie,tt0010536
Paid in Full,1919.0,Drama,6.8,28,movie,tt0010548
The Doll,1919.0,"Comedy,Fantasy,Romance",7.4,2718,movie,tt0010600
Roped,1919.0,"Comedy,Western",3.6,53,movie,tt0010640
Sahara,1919.0,Adventure,5.3,17,movie,tt0010654
The Trap,1919.0,"Drama,Romance",4.8,15,movie,tt0010798
The Golem,1920.0,"Fantasy,Horror",7.2,9616,movie,tt0011237
Desire,1920.0,"Drama,Romance",7.0,84,movie,tt0011676
Yes or No,1920.0,"Drama,Romance",6.3,44,movie,tt0011890
Dangerous Lies,1921.0,Drama,7.2,43,movie,tt0012087
Innocent,1921.0,"Drama,Romance",7.0,22,movie,tt0012317
The Killer,1921.0,"Drama,Western",6.9,19,movie,tt0012350
Leap Year,1924.0,Comedy,6.0,383,movie,tt0012382
Destiny,1921.0,"Drama,Fantasy,Horror",7.6,7417,movie,tt0012494
The Oath,1921.0,Drama,3.8,13,movie,tt0012515
A Perfect Crime,1921.0,"Adventure,Comedy,Drama",6.6,53,movie,tt0012565
Playing with Fire,1921.0,,4.3,12,movie,tt0012720
Once Upon a Time,1922.0,"Drama,Family,Fantasy",6.3,576,movie,tt0013059
Forget Me Not,1922.0,Drama,4.8,15,movie,tt0013145
Phantom,1922.0,"Drama,Romance",6.7,2112,movie,tt0013496
Sherlock Holmes,1922.0,"Drama,Mystery",5.8,801,movie,tt0013597
The Trap,1922.0,Drama,6.1,270,movie,tt0013704
Hollywood,1923.0,"Comedy,Drama",6.6,98,movie,tt0014137
Good Luck,1923.0,Drama,6.8,42,movie,tt0014339
Black Lightning,1924.0,"Action,Adventure,Drama",5.6,36,movie,tt0014720
The Last Laugh,1924.0,Drama,8.0,16681,movie,tt0015064
Michael,1924.0,"Drama,Romance",7.1,2264,movie,tt0015136
The Circle,1925.0,"Comedy,Drama,Romance",6.4,758,movie,tt0015684
Les Misérables,1925.0,Drama,7.3,116,movie,tt0016112
The Monster,1925.0,"Comedy,Horror,Mystery",6.2,1566,movie,tt0016123
The Phantom of the Opera,1925.0,"Horror,Music",7.5,22443,movie,tt0016220
She,1925.0,"Adventure,Fantasy,Sci-Fi",5.5,188,movie,tt0016338
Thank You,1925.0,"Comedy,Drama,Romance",4.3,54,movie,tt0016417
White Fang,1925.0,"Adventure,Drama,Family",6.1,39,movie,tt0016524
The Barrier,1926.0,Adventure,6.9,24,movie,tt0016628
The Rainmaker,1926.0,Drama,6.1,18,movie,tt0017307
